nohup: ignoring input
num_gpus: 1
['train.py', '--config=configs/DNS-large-full-watermark-weight-0.01-delay-100k.json', '--rank=0', '--group_name=group_2025_11_17-175728']
WATERMARK WEIGHT IN DATASET: 0.01
WATERMARK WEIGHT IN UTIL: 0.01
WATERMARK DELAY IN UTIL: 100000
WATERMARK WEIGHT IN TRAIN: 0.01
WATERMARK DELAY IN TRAIN: 100000
exp_path: DNS-large-full-watermark-weight-0.01-delay-100k
ckpt_directory:  ./exp/DNS-large-full-watermark-weight-0.01-delay-100k/checkpoint
Data loaded
CleanUNet Parameters: 46.071937M;  
No valid checkpoint model found, start training from initialization.
Iteration 0:	Reduced Total Loss: 1.471	Total Loss: 1.471	reconstruct: 0.021	stft_sc: 0.490	stft_mag: 0.961
Iteration 420:	Reduced Total Loss: 1.149	Total Loss: 1.149	reconstruct: 0.019	stft_sc: 0.432	stft_mag: 0.699
Iteration 440:	Reduced Total Loss: 1.117	Total Loss: 1.117	reconstruct: 0.026	stft_sc: 0.410	stft_mag: 0.680
Iteration 460:	Reduced Total Loss: 1.196	Total Loss: 1.196	reconstruct: 0.022	stft_sc: 0.429	stft_mag: 0.745
Iteration 480:	Reduced Total Loss: 1.161	Total Loss: 1.161	reconstruct: 0.031	stft_sc: 0.412	stft_mag: 0.717
Iteration 500:	Reduced Total Loss: 1.186	Total Loss: 1.186	reconstruct: 0.025	stft_sc: 0.428	stft_mag: 0.733
Iteration 520:	Reduced Total Loss: 1.220	Total Loss: 1.220	reconstruct: 0.033	stft_sc: 0.420	stft_mag: 0.767
Iteration 540:	Reduced Total Loss: 1.173	Total Loss: 1.173	reconstruct: 0.039	stft_sc: 0.414	stft_mag: 0.721
Iteration 560:	Reduced Total Loss: 1.176	Total Loss: 1.176	reconstruct: 0.025	stft_sc: 0.417	stft_mag: 0.735
Iteration 580:	Reduced Total Loss: 1.182	Total Loss: 1.182	reconstruct: 0.031	stft_sc: 0.409	stft_mag: 0.741
Iteration 600:	Reduced Total Loss: 1.102	Total Loss: 1.102	reconstruct: 0.030	stft_sc: 0.412	stft_mag: 0.660
Iteration 620:	Reduced Total Loss: 1.157	Total Loss: 1.157	reconstruct: 0.033	stft_sc: 0.398	stft_mag: 0.726
Iteration 640:	Reduced Total Loss: 1.123	Total Loss: 1.123	reconstruct: 0.029	stft_sc: 0.406	stft_mag: 0.688
Iteration 660:	Reduced Total Loss: 1.104	Total Loss: 1.104	reconstruct: 0.035	stft_sc: 0.405	stft_mag: 0.664
Iteration 680:	Reduced Total Loss: 1.141	Total Loss: 1.141	reconstruct: 0.032	stft_sc: 0.399	stft_mag: 0.711
Iteration 700:	Reduced Total Loss: 1.183	Total Loss: 1.183	reconstruct: 0.039	stft_sc: 0.400	stft_mag: 0.744
Iteration 720:	Reduced Total Loss: 1.144	Total Loss: 1.144	reconstruct: 0.037	stft_sc: 0.395	stft_mag: 0.712
Iteration 740:	Reduced Total Loss: 1.183	Total Loss: 1.183	reconstruct: 0.039	stft_sc: 0.389	stft_mag: 0.756
Iteration 751:	Reduced Total Loss: 1.029	Total Loss: 1.029	reconstruct: 0.025	stft_sc: 0.382	stft_mag: 0.621
Iteration 771:	Reduced Total Loss: 1.081	Total Loss: 1.081	reconstruct: 0.035	stft_sc: 0.378	stft_mag: 0.668
Iteration 791:	Reduced Total Loss: 1.153	Total Loss: 1.153	reconstruct: 0.023	stft_sc: 0.374	stft_mag: 0.756
Iteration 811:	Reduced Total Loss: 1.064	Total Loss: 1.064	reconstruct: 0.026	stft_sc: 0.380	stft_mag: 0.659
Iteration 831:	Reduced Total Loss: 1.191	Total Loss: 1.191	reconstruct: 0.024	stft_sc: 0.388	stft_mag: 0.780
Iteration 851:	Reduced Total Loss: 1.068	Total Loss: 1.068	reconstruct: 0.036	stft_sc: 0.370	stft_mag: 0.662
Iteration 871:	Reduced Total Loss: 1.001	Total Loss: 1.001	reconstruct: 0.028	stft_sc: 0.356	stft_mag: 0.616
Iteration 891:	Reduced Total Loss: 1.082	Total Loss: 1.082	reconstruct: 0.025	stft_sc: 0.355	stft_mag: 0.703
Iteration 911:	Reduced Total Loss: 1.035	Total Loss: 1.035	reconstruct: 0.026	stft_sc: 0.340	stft_mag: 0.669
Iteration 931:	Reduced Total Loss: 0.952	Total Loss: 0.952	reconstruct: 0.024	stft_sc: 0.320	stft_mag: 0.608
Iteration 951:	Reduced Total Loss: 0.983	Total Loss: 0.983	reconstruct: 0.020	stft_sc: 0.297	stft_mag: 0.667
Iteration 971:	Reduced Total Loss: 1.037	Total Loss: 1.037	reconstruct: 0.023	stft_sc: 0.231	stft_mag: 0.783
Iteration 991:	Reduced Total Loss: 1.058	Total Loss: 1.058	reconstruct: 0.013	stft_sc: 0.272	stft_mag: 0.773
Iteration 1011:	Reduced Total Loss: 0.835	Total Loss: 0.835	reconstruct: 0.011	stft_sc: 0.227	stft_mag: 0.597
Iteration 1031:	Reduced Total Loss: 0.767	Total Loss: 0.767	reconstruct: 0.009	stft_sc: 0.152	stft_mag: 0.605
Iteration 1051:	Reduced Total Loss: 0.770	Total Loss: 0.770	reconstruct: 0.009	stft_sc: 0.175	stft_mag: 0.586
Iteration 1071:	Reduced Total Loss: 0.840	Total Loss: 0.840	reconstruct: 0.008	stft_sc: 0.251	stft_mag: 0.581
Iteration 1091:	Reduced Total Loss: 0.953	Total Loss: 0.953	reconstruct: 0.018	stft_sc: 0.211	stft_mag: 0.723
Iteration 1111:	Reduced Total Loss: 0.764	Total Loss: 0.764	reconstruct: 0.009	stft_sc: 0.153	stft_mag: 0.602
Iteration 1131:	Reduced Total Loss: 1.257	Total Loss: 1.257	reconstruct: 0.026	stft_sc: 0.505	stft_mag: 0.726
Iteration 1151:	Reduced Total Loss: 0.866	Total Loss: 0.866	reconstruct: 0.014	stft_sc: 0.184	stft_mag: 0.668
Iteration 1171:	Reduced Total Loss: 0.763	Total Loss: 0.763	reconstruct: 0.008	stft_sc: 0.142	stft_mag: 0.613
Iteration 1191:	Reduced Total Loss: 0.927	Total Loss: 0.927	reconstruct: 0.010	stft_sc: 0.148	stft_mag: 0.769
Iteration 1211:	Reduced Total Loss: 0.796	Total Loss: 0.796	reconstruct: 0.009	stft_sc: 0.162	stft_mag: 0.624
Iteration 1231:	Reduced Total Loss: 0.869	Total Loss: 0.869	reconstruct: 0.011	stft_sc: 0.241	stft_mag: 0.617
Iteration 1251:	Reduced Total Loss: 0.718	Total Loss: 0.718	reconstruct: 0.010	stft_sc: 0.125	stft_mag: 0.583
Iteration 1271:	Reduced Total Loss: 0.771	Total Loss: 0.771	reconstruct: 0.013	stft_sc: 0.151	stft_mag: 0.607
Iteration 1291:	Reduced Total Loss: 0.795	Total Loss: 0.795	reconstruct: 0.009	stft_sc: 0.168	stft_mag: 0.618
Iteration 1311:	Reduced Total Loss: 0.746	Total Loss: 0.746	reconstruct: 0.011	stft_sc: 0.105	stft_mag: 0.630
Iteration 1331:	Reduced Total Loss: 0.834	Total Loss: 0.834	reconstruct: 0.012	stft_sc: 0.183	stft_mag: 0.639
Iteration 1351:	Reduced Total Loss: 0.759	Total Loss: 0.759	reconstruct: 0.009	stft_sc: 0.151	stft_mag: 0.599
Iteration 1371:	Reduced Total Loss: 0.767	Total Loss: 0.767	reconstruct: 0.009	stft_sc: 0.151	stft_mag: 0.607
Iteration 1391:	Reduced Total Loss: 0.902	Total Loss: 0.902	reconstruct: 0.013	stft_sc: 0.215	stft_mag: 0.674
Iteration 1411:	Reduced Total Loss: 0.581	Total Loss: 0.581	reconstruct: 0.006	stft_sc: 0.093	stft_mag: 0.481
Iteration 1431:	Reduced Total Loss: 0.881	Total Loss: 0.881	reconstruct: 0.014	stft_sc: 0.252	stft_mag: 0.615
Iteration 1451:	Reduced Total Loss: 0.783	Total Loss: 0.783	reconstruct: 0.010	stft_sc: 0.167	stft_mag: 0.605
Iteration 1471:	Reduced Total Loss: 0.837	Total Loss: 0.837	reconstruct: 0.013	stft_sc: 0.228	stft_mag: 0.596
Iteration 1491:	Reduced Total Loss: 0.770	Total Loss: 0.770	reconstruct: 0.007	stft_sc: 0.174	stft_mag: 0.589
Iteration 1502:	Reduced Total Loss: 0.672	Total Loss: 0.672	reconstruct: 0.004	stft_sc: 0.142	stft_mag: 0.526
Iteration 1522:	Reduced Total Loss: 0.937	Total Loss: 0.937	reconstruct: 0.013	stft_sc: 0.283	stft_mag: 0.642
Iteration 1542:	Reduced Total Loss: 0.806	Total Loss: 0.806	reconstruct: 0.014	stft_sc: 0.182	stft_mag: 0.610
Iteration 1562:	Reduced Total Loss: 0.614	Total Loss: 0.614	reconstruct: 0.005	stft_sc: 0.097	stft_mag: 0.512
Iteration 1582:	Reduced Total Loss: 0.844	Total Loss: 0.844	reconstruct: 0.009	stft_sc: 0.144	stft_mag: 0.690
Iteration 1602:	Reduced Total Loss: 0.854	Total Loss: 0.854	reconstruct: 0.015	stft_sc: 0.212	stft_mag: 0.628
Iteration 1622:	Reduced Total Loss: 0.842	Total Loss: 0.842	reconstruct: 0.012	stft_sc: 0.208	stft_mag: 0.622
Iteration 1642:	Reduced Total Loss: 0.771	Total Loss: 0.771	reconstruct: 0.010	stft_sc: 0.144	stft_mag: 0.617
Iteration 1662:	Reduced Total Loss: 0.851	Total Loss: 0.851	reconstruct: 0.011	stft_sc: 0.165	stft_mag: 0.676
Iteration 1682:	Reduced Total Loss: 0.652	Total Loss: 0.652	reconstruct: 0.006	stft_sc: 0.109	stft_mag: 0.536
Iteration 1702:	Reduced Total Loss: 0.610	Total Loss: 0.610	reconstruct: 0.005	stft_sc: 0.076	stft_mag: 0.529
Iteration 1722:	Reduced Total Loss: 0.633	Total Loss: 0.633	reconstruct: 0.009	stft_sc: 0.127	stft_mag: 0.496
Iteration 1742:	Reduced Total Loss: 0.787	Total Loss: 0.787	reconstruct: 0.009	stft_sc: 0.169	stft_mag: 0.609
Iteration 1762:	Reduced Total Loss: 0.790	Total Loss: 0.790	reconstruct: 0.007	stft_sc: 0.144	stft_mag: 0.640
Iteration 1782:	Reduced Total Loss: 0.777	Total Loss: 0.777	reconstruct: 0.010	stft_sc: 0.132	stft_mag: 0.634
Iteration 1802:	Reduced Total Loss: 0.688	Total Loss: 0.688	reconstruct: 0.006	stft_sc: 0.112	stft_mag: 0.570
Iteration 1822:	Reduced Total Loss: 0.842	Total Loss: 0.842	reconstruct: 0.016	stft_sc: 0.194	stft_mag: 0.632
Iteration 1842:	Reduced Total Loss: 0.541	Total Loss: 0.541	reconstruct: 0.006	stft_sc: 0.076	stft_mag: 0.458
Iteration 1862:	Reduced Total Loss: 0.745	Total Loss: 0.745	reconstruct: 0.007	stft_sc: 0.124	stft_mag: 0.614
Iteration 1882:	Reduced Total Loss: 0.719	Total Loss: 0.719	reconstruct: 0.009	stft_sc: 0.145	stft_mag: 0.565
Iteration 1902:	Reduced Total Loss: 0.857	Total Loss: 0.857	reconstruct: 0.007	stft_sc: 0.114	stft_mag: 0.736
Iteration 1922:	Reduced Total Loss: 0.728	Total Loss: 0.728	reconstruct: 0.012	stft_sc: 0.169	stft_mag: 0.547
Iteration 1942:	Reduced Total Loss: 0.941	Total Loss: 0.941	reconstruct: 0.012	stft_sc: 0.219	stft_mag: 0.710
Iteration 1962:	Reduced Total Loss: 0.716	Total Loss: 0.716	reconstruct: 0.012	stft_sc: 0.131	stft_mag: 0.573
Iteration 1982:	Reduced Total Loss: 0.721	Total Loss: 0.721	reconstruct: 0.012	stft_sc: 0.204	stft_mag: 0.505
Iteration 2002:	Reduced Total Loss: 0.765	Total Loss: 0.765	reconstruct: 0.008	stft_sc: 0.208	stft_mag: 0.549
Iteration 2022:	Reduced Total Loss: 0.898	Total Loss: 0.898	reconstruct: 0.018	stft_sc: 0.214	stft_mag: 0.666
Iteration 2042:	Reduced Total Loss: 0.757	Total Loss: 0.757	reconstruct: 0.009	stft_sc: 0.167	stft_mag: 0.580
Iteration 2062:	Reduced Total Loss: 0.613	Total Loss: 0.613	reconstruct: 0.007	stft_sc: 0.113	stft_mag: 0.493
Iteration 2082:	Reduced Total Loss: 0.992	Total Loss: 0.992	reconstruct: 0.016	stft_sc: 0.273	stft_mag: 0.703
Iteration 2102:	Reduced Total Loss: 0.704	Total Loss: 0.704	reconstruct: 0.009	stft_sc: 0.156	stft_mag: 0.539
Iteration 2122:	Reduced Total Loss: 0.560	Total Loss: 0.560	reconstruct: 0.005	stft_sc: 0.096	stft_mag: 0.459
Iteration 2142:	Reduced Total Loss: 0.864	Total Loss: 0.864	reconstruct: 0.015	stft_sc: 0.263	stft_mag: 0.586
Iteration 2162:	Reduced Total Loss: 0.853	Total Loss: 0.853	reconstruct: 0.015	stft_sc: 0.226	stft_mag: 0.612
Iteration 2182:	Reduced Total Loss: 0.773	Total Loss: 0.773	reconstruct: 0.009	stft_sc: 0.180	stft_mag: 0.584
Iteration 2202:	Reduced Total Loss: 0.888	Total Loss: 0.888	reconstruct: 0.015	stft_sc: 0.254	stft_mag: 0.620
Iteration 2222:	Reduced Total Loss: 0.728	Total Loss: 0.728	reconstruct: 0.010	stft_sc: 0.171	stft_mag: 0.546
Iteration 2242:	Reduced Total Loss: 0.785	Total Loss: 0.785	reconstruct: 0.008	stft_sc: 0.174	stft_mag: 0.603
Iteration 2253:	Reduced Total Loss: 0.642	Total Loss: 0.642	reconstruct: 0.008	stft_sc: 0.155	stft_mag: 0.479
Iteration 2273:	Reduced Total Loss: 0.851	Total Loss: 0.851	reconstruct: 0.010	stft_sc: 0.242	stft_mag: 0.599
Iteration 2293:	Reduced Total Loss: 0.596	Total Loss: 0.596	reconstruct: 0.007	stft_sc: 0.086	stft_mag: 0.502
Iteration 2313:	Reduced Total Loss: 0.813	Total Loss: 0.813	reconstruct: 0.009	stft_sc: 0.171	stft_mag: 0.632
Iteration 2333:	Reduced Total Loss: 0.625	Total Loss: 0.625	reconstruct: 0.009	stft_sc: 0.107	stft_mag: 0.509
Iteration 2353:	Reduced Total Loss: 0.843	Total Loss: 0.843	reconstruct: 0.011	stft_sc: 0.245	stft_mag: 0.588
Iteration 2373:	Reduced Total Loss: 0.624	Total Loss: 0.624	reconstruct: 0.009	stft_sc: 0.114	stft_mag: 0.501
Iteration 2393:	Reduced Total Loss: 0.698	Total Loss: 0.698	reconstruct: 0.008	stft_sc: 0.132	stft_mag: 0.558
Iteration 2413:	Reduced Total Loss: 0.703	Total Loss: 0.703	reconstruct: 0.014	stft_sc: 0.121	stft_mag: 0.569
Iteration 2433:	Reduced Total Loss: 0.617	Total Loss: 0.617	reconstruct: 0.007	stft_sc: 0.116	stft_mag: 0.494
Iteration 2453:	Reduced Total Loss: 0.769	Total Loss: 0.769	reconstruct: 0.008	stft_sc: 0.168	stft_mag: 0.593
Iteration 2473:	Reduced Total Loss: 0.622	Total Loss: 0.622	reconstruct: 0.011	stft_sc: 0.104	stft_mag: 0.508
Iteration 2493:	Reduced Total Loss: 0.618	Total Loss: 0.618	reconstruct: 0.008	stft_sc: 0.123	stft_mag: 0.488
Iteration 2513:	Reduced Total Loss: 0.777	Total Loss: 0.777	reconstruct: 0.013	stft_sc: 0.124	stft_mag: 0.639
Iteration 2533:	Reduced Total Loss: 0.694	Total Loss: 0.694	reconstruct: 0.009	stft_sc: 0.205	stft_mag: 0.479
Iteration 2553:	Reduced Total Loss: 0.771	Total Loss: 0.771	reconstruct: 0.012	stft_sc: 0.198	stft_mag: 0.561
Iteration 2573:	Reduced Total Loss: 1.186	Total Loss: 1.186	reconstruct: 0.017	stft_sc: 0.290	stft_mag: 0.879
Iteration 2593:	Reduced Total Loss: 0.767	Total Loss: 0.767	reconstruct: 0.009	stft_sc: 0.126	stft_mag: 0.632
Iteration 2613:	Reduced Total Loss: 0.847	Total Loss: 0.847	reconstruct: 0.010	stft_sc: 0.176	stft_mag: 0.661
Iteration 2633:	Reduced Total Loss: 0.874	Total Loss: 0.874	reconstruct: 0.016	stft_sc: 0.220	stft_mag: 0.639
Iteration 2653:	Reduced Total Loss: 0.799	Total Loss: 0.799	reconstruct: 0.007	stft_sc: 0.151	stft_mag: 0.641
Iteration 2673:	Reduced Total Loss: 0.573	Total Loss: 0.573	reconstruct: 0.005	stft_sc: 0.090	stft_mag: 0.478
Iteration 2693:	Reduced Total Loss: 0.611	Total Loss: 0.611	reconstruct: 0.008	stft_sc: 0.111	stft_mag: 0.491
Iteration 2713:	Reduced Total Loss: 0.745	Total Loss: 0.745	reconstruct: 0.006	stft_sc: 0.184	stft_mag: 0.555
Iteration 2733:	Reduced Total Loss: 0.736	Total Loss: 0.736	reconstruct: 0.013	stft_sc: 0.219	stft_mag: 0.505
Iteration 2753:	Reduced Total Loss: 0.668	Total Loss: 0.668	reconstruct: 0.007	stft_sc: 0.165	stft_mag: 0.496
Iteration 2773:	Reduced Total Loss: 0.689	Total Loss: 0.689	reconstruct: 0.009	stft_sc: 0.221	stft_mag: 0.459
Iteration 2793:	Reduced Total Loss: 0.537	Total Loss: 0.537	reconstruct: 0.008	stft_sc: 0.108	stft_mag: 0.421
Iteration 2813:	Reduced Total Loss: 0.843	Total Loss: 0.843	reconstruct: 0.010	stft_sc: 0.197	stft_mag: 0.637
Iteration 2833:	Reduced Total Loss: 0.771	Total Loss: 0.771	reconstruct: 0.016	stft_sc: 0.148	stft_mag: 0.607
Iteration 2853:	Reduced Total Loss: 0.540	Total Loss: 0.540	reconstruct: 0.005	stft_sc: 0.076	stft_mag: 0.459
Iteration 2873:	Reduced Total Loss: 0.996	Total Loss: 0.996	reconstruct: 0.013	stft_sc: 0.247	stft_mag: 0.736
Iteration 2893:	Reduced Total Loss: 0.628	Total Loss: 0.628	reconstruct: 0.008	stft_sc: 0.109	stft_mag: 0.510
Iteration 2913:	Reduced Total Loss: 0.829	Total Loss: 0.829	reconstruct: 0.008	stft_sc: 0.159	stft_mag: 0.662
Iteration 2933:	Reduced Total Loss: 0.715	Total Loss: 0.715	reconstruct: 0.009	stft_sc: 0.184	stft_mag: 0.522
Iteration 2953:	Reduced Total Loss: 0.804	Total Loss: 0.804	reconstruct: 0.015	stft_sc: 0.233	stft_mag: 0.555
Iteration 2973:	Reduced Total Loss: 0.541	Total Loss: 0.541	reconstruct: 0.006	stft_sc: 0.093	stft_mag: 0.442
Iteration 2993:	Reduced Total Loss: 0.719	Total Loss: 0.719	reconstruct: 0.008	stft_sc: 0.118	stft_mag: 0.593
Iteration 3004:	Reduced Total Loss: 0.719	Total Loss: 0.719	reconstruct: 0.008	stft_sc: 0.131	stft_mag: 0.580
Iteration 3024:	Reduced Total Loss: 0.740	Total Loss: 0.740	reconstruct: 0.008	stft_sc: 0.138	stft_mag: 0.594
Iteration 3044:	Reduced Total Loss: 0.554	Total Loss: 0.554	reconstruct: 0.006	stft_sc: 0.086	stft_mag: 0.462
Iteration 3064:	Reduced Total Loss: 0.610	Total Loss: 0.610	reconstruct: 0.008	stft_sc: 0.129	stft_mag: 0.473
Iteration 3084:	Reduced Total Loss: 0.609	Total Loss: 0.609	reconstruct: 0.008	stft_sc: 0.132	stft_mag: 0.469
Iteration 3104:	Reduced Total Loss: 0.651	Total Loss: 0.651	reconstruct: 0.011	stft_sc: 0.168	stft_mag: 0.472
Iteration 3124:	Reduced Total Loss: 0.766	Total Loss: 0.766	reconstruct: 0.014	stft_sc: 0.140	stft_mag: 0.612
Iteration 3144:	Reduced Total Loss: 0.729	Total Loss: 0.729	reconstruct: 0.011	stft_sc: 0.136	stft_mag: 0.582
Iteration 3164:	Reduced Total Loss: 0.723	Total Loss: 0.723	reconstruct: 0.010	stft_sc: 0.138	stft_mag: 0.575
Iteration 3184:	Reduced Total Loss: 0.548	Total Loss: 0.548	reconstruct: 0.006	stft_sc: 0.103	stft_mag: 0.440
Iteration 3204:	Reduced Total Loss: 0.767	Total Loss: 0.767	reconstruct: 0.015	stft_sc: 0.128	stft_mag: 0.623
Iteration 3224:	Reduced Total Loss: 0.434	Total Loss: 0.434	reconstruct: 0.005	stft_sc: 0.066	stft_mag: 0.363
Iteration 3244:	Reduced Total Loss: 0.744	Total Loss: 0.744	reconstruct: 0.010	stft_sc: 0.197	stft_mag: 0.537
Iteration 3264:	Reduced Total Loss: 0.559	Total Loss: 0.559	reconstruct: 0.005	stft_sc: 0.083	stft_mag: 0.470
Iteration 3284:	Reduced Total Loss: 0.728	Total Loss: 0.728	reconstruct: 0.010	stft_sc: 0.221	stft_mag: 0.497
Iteration 3304:	Reduced Total Loss: 0.873	Total Loss: 0.873	reconstruct: 0.010	stft_sc: 0.189	stft_mag: 0.673
Iteration 3324:	Reduced Total Loss: 0.573	Total Loss: 0.573	reconstruct: 0.007	stft_sc: 0.090	stft_mag: 0.476
Iteration 3344:	Reduced Total Loss: 0.781	Total Loss: 0.781	reconstruct: 0.010	stft_sc: 0.109	stft_mag: 0.663
Iteration 3364:	Reduced Total Loss: 0.760	Total Loss: 0.760	reconstruct: 0.012	stft_sc: 0.188	stft_mag: 0.560
Iteration 3384:	Reduced Total Loss: 0.514	Total Loss: 0.514	reconstruct: 0.006	stft_sc: 0.089	stft_mag: 0.419
Iteration 3404:	Reduced Total Loss: 0.530	Total Loss: 0.530	reconstruct: 0.005	stft_sc: 0.077	stft_mag: 0.448
Iteration 3424:	Reduced Total Loss: 0.716	Total Loss: 0.716	reconstruct: 0.012	stft_sc: 0.143	stft_mag: 0.561
Iteration 3444:	Reduced Total Loss: 0.822	Total Loss: 0.822	reconstruct: 0.010	stft_sc: 0.207	stft_mag: 0.605
Iteration 3464:	Reduced Total Loss: 0.731	Total Loss: 0.731	reconstruct: 0.011	stft_sc: 0.146	stft_mag: 0.574
Iteration 3484:	Reduced Total Loss: 0.699	Total Loss: 0.699	reconstruct: 0.010	stft_sc: 0.151	stft_mag: 0.538
Iteration 3504:	Reduced Total Loss: 0.658	Total Loss: 0.658	reconstruct: 0.008	stft_sc: 0.131	stft_mag: 0.519
Iteration 3524:	Reduced Total Loss: 0.697	Total Loss: 0.697	reconstruct: 0.010	stft_sc: 0.141	stft_mag: 0.546
Iteration 3544:	Reduced Total Loss: 0.604	Total Loss: 0.604	reconstruct: 0.007	stft_sc: 0.093	stft_mag: 0.504
Iteration 3564:	Reduced Total Loss: 0.591	Total Loss: 0.591	reconstruct: 0.007	stft_sc: 0.105	stft_mag: 0.478
Iteration 3584:	Reduced Total Loss: 0.602	Total Loss: 0.602	reconstruct: 0.010	stft_sc: 0.145	stft_mag: 0.447
Iteration 3604:	Reduced Total Loss: 0.863	Total Loss: 0.863	reconstruct: 0.015	stft_sc: 0.195	stft_mag: 0.653
Iteration 3624:	Reduced Total Loss: 0.584	Total Loss: 0.584	reconstruct: 0.003	stft_sc: 0.056	stft_mag: 0.526
Iteration 3644:	Reduced Total Loss: 0.678	Total Loss: 0.678	reconstruct: 0.006	stft_sc: 0.109	stft_mag: 0.563
Iteration 3664:	Reduced Total Loss: 0.603	Total Loss: 0.603	reconstruct: 0.011	stft_sc: 0.131	stft_mag: 0.462
Iteration 3684:	Reduced Total Loss: 0.672	Total Loss: 0.672	reconstruct: 0.013	stft_sc: 0.259	stft_mag: 0.400
Iteration 3704:	Reduced Total Loss: 0.424	Total Loss: 0.424	reconstruct: 0.003	stft_sc: 0.056	stft_mag: 0.365
Iteration 3724:	Reduced Total Loss: 0.555	Total Loss: 0.555	reconstruct: 0.005	stft_sc: 0.086	stft_mag: 0.464
Iteration 3744:	Reduced Total Loss: 0.624	Total Loss: 0.624	reconstruct: 0.007	stft_sc: 0.120	stft_mag: 0.497
Iteration 3755:	Reduced Total Loss: 0.628	Total Loss: 0.628	reconstruct: 0.007	stft_sc: 0.091	stft_mag: 0.529
Iteration 3775:	Reduced Total Loss: 0.607	Total Loss: 0.607	reconstruct: 0.006	stft_sc: 0.139	stft_mag: 0.462
Iteration 3795:	Reduced Total Loss: 0.653	Total Loss: 0.653	reconstruct: 0.007	stft_sc: 0.124	stft_mag: 0.522
Iteration 3815:	Reduced Total Loss: 0.736	Total Loss: 0.736	reconstruct: 0.008	stft_sc: 0.213	stft_mag: 0.516
Iteration 3835:	Reduced Total Loss: 0.527	Total Loss: 0.527	reconstruct: 0.003	stft_sc: 0.087	stft_mag: 0.437
Iteration 3855:	Reduced Total Loss: 0.631	Total Loss: 0.631	reconstruct: 0.010	stft_sc: 0.114	stft_mag: 0.507
